Country,Steam_Users_Total,Latitude,Longitude,Population_2021
India,968894,20.593684,78.96288,1407563842
China,11430965,35.86166,104.195397,1412360000
United States of America,13667262,37.09024,-95.712891,332048977
Indonesia,1445533,-0.789275,113.921327,273753191
Pakistan,203846,30.375321,69.345116,231402117
Nigeria,52089,9.081999,8.675277,213401323
Brazil,4918088,-14.235004,-51.92528,214326223
Bangladesh,83561,23.684994,90.356331,169356251
Russia,9495656,61.52401,105.318756,144746762
Ethiopia,27545,9.145,40.489673,120283026
Mexico,1027159,23.634501,-102.552784,126705138
Japan,1607940,36.204824,138.252924,125681593
Egypt,163761,26.820553,30.802498,109262178
Philippines,2079800,12.879721,121.774017,113880328
Dem. Rep. Congo,62650,-4.038333,21.758664,95894118
Vietnam,603016,14.058324,108.277199,97468029
Iran,174654,32.427908,53.688046,87923432
Turkey,2797554,38.963745,35.243322,84147318
Germany,3611729,51.165691,10.451526,83196078
Thailand,1210221,15.870032,100.992541,71601103
United Kingdom,2554985,55.378051,-3.435973,67026292
Tanzania,21213,-6.369028,34.888822,63588334
France,2788899,46.227638,2.213749,67764304
South Africa,238777,-30.559482,22.937506,59392255
Italy,1078601,41.87194,12.56738,59133173
Kenya,30021,-0.023559,37.906193,53005614
Myanmar,100296,21.913965,95.956223,53798084
Colombia,468469,4.570868,-74.297333,51516562
South Korea,1529243,35.907757,127.766922,51769539
Sudan,11778,12.862807,30.217636,45657202
Uganda,89064,1.373333,32.290275,45853778
Spain,1184418,40.463667,-3.74922,47415794
Algeria,206921,28.033886,1.659626,44177969
Iraq,96102,33.223191,43.679291,43533592
Argentina,1323711,-38.416097,-63.616672,45808747
Afghanistan,372675,33.93911,67.709953,40099462
Yemen,22532,15.552727,48.516388,32981641
Canada,3020258,56.130366,-106.346771,38239864
Poland,2448159,51.919438,19.145136,37747124
Morocco,86463,31.791702,-7.09262,37076584
Angola,64811,-11.202692,17.873887,34503774
Ukraine,2001594,48.379433,31.16558,43848986
Uzbekistan,83418,41.377491,64.585262,34915100
Malaysia,738328,4.210484,101.975766,33573874
Mozambique,13032,-18.665695,35.529562,32077072
Ghana,29945,7.946527,-1.023194,32833031
Peru,821752,-9.189967,-75.015152,33715471
Saudi Arabia,146281,23.885942,45.079162,35950396
Madagascar,38295,-18.766947,46.869107,28915653
Côte d'Ivoire,22026,7.539989,-5.54708,27478249
Nepal,42953,28.394857,84.124008,30034989
Cameroon,26130,7.369722,12.354722,27198628
Venezuela,263434,6.42375,-66.58973,28199867
Niger,140998,17.607789,8.081666,25252722
Australia,1445073,-25.274398,133.775136,25685412
North Korea,103981,40.339852,127.510093,25971909
Syria,40812,34.802075,38.996815,21324367
Mali,9581,17.570692,-3.996166,21904983
Burkina Faso,21277,12.238333,-1.561593,22100683
Sri Lanka,43206,7.873054,80.771797,22156000
Malawi,12503,-13.254308,34.301525,19889742
Zambia,33587,-13.133897,27.849332,19473125
Kazakhstan,557108,48.019573,66.923684,19191356
Chad,33351,15.454166,18.732207,17179740
Chile,1015939,-35.675147,-71.542969,19493184
Romania,1031768,45.943161,24.96676,19122059
Somalia,29031,5.152149,46.199616,17065581
Senegal,11067,14.497401,-14.452362,16876720
Guatemala,63702,15.783471,-90.230759,17109746
Netherlands,737779,52.132633,5.291266,17533044
Ecuador,160551,-1.831239,-78.183406,17797737
Cambodia,56472,12.565679,104.990963,16589023
Zimbabwe,120850,-19.015438,29.154857,15993524
Guinea,14324,9.945587,-9.696645,13531906
Benin,16458,9.30769,2.315834,12996895
Rwanda,10471,-1.940278,29.873888,13461888
Burundi,16110,-3.373056,29.918886,12551213
Bolivia,108374,-16.290154,-63.588653,12079472
Tunisia,65630,33.886917,9.537499,12262946
